lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.220592
# Diagonal elements of inverse mass matrix:
# 0.0250883, 0.163609, 0.0108166, 0.0168376, 0.00210225, 0.00636659, 0.000555441, 0.079654, 0.492413, 0.00233053, 0.00578739, 0.00378144, 0.048682, 0.0239143, 0.0212116, 0.161747, 0.0279692, 0.0253528, 0.0480812, 0.0432333, 0.0857073, 0.0286794
6.79743,0.720738,0.220592,5,31,0,2.093,0.0839973,0.333039,3.4682,3.81106,12.2256,5.45887,19.7603,1.76337,1.16829,8.4098,6.15597,7.48491,3.01226,3.90212,3.2551,2.98796,2.30698,3.64405,1.75868,2.46751,1.59925,2.50345,6.48046,7.71319,15.4808,8.44683,22.0673,5.40742,2.92697,10.8773,7.75522,9.98836,1.00409,1.30071,1.08503,0.995986,0.768994,1.21468,0.586226,0.822504,0.533084,0.834484,1.0003
7.60086,0.947809,0.220592,5,31,0,8.2105,0.106675,0.430712,3.3588,4.06086,11.7162,5.78294,19.9874,2.13924,0.678356,8.87624,5.52415,7.95128,2.54189,3.62875,3.22898,3.29762,2.33337,3.10894,1.94514,1.84549,2.35752,2.7701,5.90069,7.68961,14.9452,9.08057,22.3208,5.24818,2.6235,10.7217,7.88167,10.7214,0.847297,1.20958,1.07633,1.09921,0.777791,1.03631,0.648381,0.615162,0.785842,0.923366,0.664247
2.5707,0.916669,0.220592,4,31,0,10.1137,-0.141773,0.620279,4.16992,4.32459,10.0431,5.25999,18.8444,1.58662,1.60944,7.88244,6.8544,7.42783,1.72243,3.52233,5.61378,4.92214,3.61044,3.55252,1.45853,2.73522,0.833973,3.35496,5.89235,7.84692,15.6569,10.1821,22.4549,5.13914,3.06797,10.6177,7.68838,10.7828,0.574145,1.17411,1.87126,1.64071,1.20348,1.18417,0.486177,0.911742,0.277991,1.11832,0.785574
9.94542,0.870675,0.220592,4,15,0,9.16737,-0.0522325,0.428627,4.18133,3.61353,10.6631,6.46347,19.0649,1.32317,0.515342,8.51958,5.86985,7.96342,1.73451,3.74431,4.59943,1.35361,3.09017,4.13932,2.15124,1.86545,1.99941,2.45995,5.91584,7.35785,15.2625,7.81708,22.1551,5.46249,2.66658,10.385,7.86927,10.4234,0.578169,1.2481,1.53314,0.451203,1.03006,1.37977,0.717079,0.621818,0.666471,0.819984,0.871833
7.4833,0.892313,0.220592,4,31,0,6.93722,0.182537,0.590799,3.77682,3.87173,10.3854,5.82438,18.7566,2.25035,0.403261,8.04984,6.6873,7.59419,2.08621,3.82772,5.11622,6.69386,3.46239,2.97182,2.3993,2.77351,1.40023,2.78752,5.86303,7.69945,15.5016,12.5182,22.219,5.22217,2.80256,10.8234,8.08754,10.3817,0.695404,1.27591,1.70541,2.23129,1.15413,0.990606,0.799767,0.924504,0.466745,0.929173,1.76706
6.99404,0.974628,0.220592,5,31,0,3.26429,-0.0829207,0.247223,4.09797,3.85922,10.3177,5.91755,19.8208,2.33169,0.151303,8.77976,5.78968,7.98321,1.71401,3.82862,5.01697,2.24593,2.23726,2.87508,2.39795,1.98408,2.48548,2.6669,5.81198,7.68784,15.3347,8.16348,22.0581,5.20677,2.54925,10.7638,8.27515,10.6501,0.571336,1.27621,1.67232,0.748642,0.745753,0.958359,0.799315,0.66136,0.828492,0.888968,0.647588
8.41858,0.907009,0.220592,3,7,0,-1.32027,-0.220967,0.378723,4.73978,3.68856,10.7274,5.73007,19.7695,2.1394,0.487383,8.73199,5.76441,8.05112,1.85651,3.51697,4.27255,2.80452,2.53402,3.06488,2.65975,2.16536,1.79754,2.47072,6.59629,7.20553,14.9999,8.53459,22.3035,5.20428,3.14713,10.8973,7.56195,10.5218,0.618836,1.17232,1.42418,0.934841,0.844672,1.02163,0.886584,0.721785,0.59918,0.823574,1.11184
9.63608,0.993997,0.220592,4,31,0,-0.385977,-0.296463,0.513077,4.31767,3.6952,12.0611,6.38453,19.0149,2.04621,1.09166,8.57096,5.93695,7.33063,2.32046,3.77096,3.21003,3.09557,3.48476,3.29516,1.42334,2.30203,2.08544,3.36308,6.63813,7.46616,15.2711,9.4801,22.4997,5.34137,2.515,10.873,8.02238,10.6937,0.773488,1.25699,1.07001,1.03186,1.16159,1.09839,0.474447,0.767342,0.695146,1.12103,1.1575
6.87008,0.908581,0.220592,5,31,0,-1.67042,0.0976984,0.286727,4.72568,3.5191,10.6254,6.10768,18.1603,1.6868,0.623504,8.64796,6.28503,7.69502,2.0173,3.98807,4.66003,2.52047,4.09292,3.64847,2.69719,2.18552,2.0972,3.01655,6.74298,7.50717,15.2854,8.62815,22.2532,5.33527,3.3207,10.8335,8.38223,10.7116,0.672432,1.32936,1.55334,0.840156,1.36431,1.21616,0.899064,0.728507,0.699066,1.00552,1.00805
3.24036,0.939088,0.220592,4,31,0,6.26082,-0.130329,0.450832,4.44516,2.91304,11.7764,5.66297,18.4965,1.77097,0.0496319,8.46951,5.18032,7.00957,1.61612,4.57199,3.46741,2.66321,3.71397,3.55514,2.59859,2.26195,3.10901,3.65005,6.06128,7.48503,15.2438,8.32618,22.2104,5.32611,2.64822,10.7315,8.28933,10.6596,0.538708,1.524,1.1558,0.887736,1.23799,1.18505,0.866195,0.753983,1.03634,1.21668,0.490521
