lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.243333
# Diagonal elements of inverse mass matrix:
# 0.0212545, 0.170158, 0.0125525, 0.0189936, 0.00187311, 0.00716267, 0.000546069, 0.0732637, 0.495149, 0.00251012, 0.00535968, 0.00384929, 0.0507979, 0.0243488, 0.0179938, 0.151209, 0.0278725, 0.022268, 0.0383705, 0.0458458, 0.0753044, 0.0289028
12.4982,0.907681,0.243333,4,15,0,-0.798889,-0.132324,0.296458,3.7883,3.79656,11.5814,6.62705,19.343,2.00433,0.345969,8.38677,5.70718,8.10115,2.33504,3.79446,3.76927,2.4913,2.92982,3.34442,2.80338,1.92025,2.12619,2.60336,6.12334,7.59102,15.3507,9.11835,22.2728,5.34875,3.14935,10.307,7.83337,10.7045,0.778346,1.26482,1.25642,0.830432,0.976606,1.11481,0.934461,0.640084,0.708729,0.867787,0.95388
11.7685,0.870445,0.243333,4,15,0,-0.665674,-0.147967,0.315466,4.03205,3.59052,11.4708,6.63553,19.3604,2.08227,0.32459,8.5464,5.63896,8.13708,2.2371,3.7223,3.84266,2.66789,2.87164,3.65693,2.62589,1.86112,2.28397,2.51542,6.26915,7.31282,15.3135,9.30342,22.2321,5.73921,2.95048,10.4075,7.92294,10.6525,0.7457,1.24077,1.28089,0.889296,0.957213,1.21898,0.875296,0.620374,0.761325,0.838473,0.636002
14.4888,0.82129,0.243333,3,15,0,-2.65085,-0.26418,0.280925,3.93721,3.66943,11.304,6.02142,19.4249,1.80231,0.530684,8.75147,5.79928,7.62315,2.46086,3.64173,4.15781,2.85247,2.69933,3.51139,2.42703,1.97942,2.08821,2.82251,6.39807,7.31116,15.4618,8.87389,22.1242,5.3137,2.95771,10.7309,7.88749,10.4457,0.820288,1.21391,1.38594,0.950825,0.899777,1.17046,0.809009,0.659807,0.696071,0.940838,1.07906
14.7063,0.85326,0.243333,3,15,0,-6.2059,-0.0091707,0.262982,3.90472,4.17914,10.6747,6.49186,19.6226,2.38424,0.691188,8.3622,6.1111,7.61587,2.03678,3.46847,4.68186,2.36358,2.62595,3.10672,1.99133,2.42819,1.84445,3.17493,5.9415,7.64762,15.3566,8.85545,22.2485,5.49095,2.68251,10.7904,7.95555,10.7908,0.678926,1.15616,1.56062,0.787861,0.875317,1.03557,0.663775,0.809398,0.614818,1.05831,0.918864
8.42027,0.800592,0.243333,4,15,0,-0.0394803,-0.0411816,0.243492,3.9427,3.92642,10.3457,6.2931,19.5234,1.9782,1.60828,8.35181,5.86967,7.3525,2.30169,3.77827,4.91781,1.9274,2.91741,3.27071,2.05179,2.4819,2.02038,3.28759,6.24438,7.70468,15.2635,8.2205,22.4408,5.24892,3.66008,10.8337,7.89005,10.6401,0.767229,1.25942,1.63927,0.642466,0.97247,1.09024,0.68393,0.827301,0.673462,1.09586,1.07326
11.569,1,0.243333,3,7,0,-2.63424,0.00923848,0.243363,4.0248,4.01109,10.407,6.34268,19.4037,1.9731,0.363468,8.04221,5.99974,7.31784,2.11529,3.42712,5.12151,2.75379,2.89314,3.64399,2.06522,2.55109,2.20611,3.51637,6.14009,7.43821,15.5285,9.09647,22.2969,5.61709,2.42869,10.5933,8.20585,10.8342,0.705098,1.14237,1.70717,0.917931,0.96438,1.21466,0.688407,0.850364,0.735369,1.17212,1.08743
9.73424,0.679377,0.243333,4,15,0,3.2293,-0.0768516,0.302357,3.34729,3.6109,11.2037,6.03446,19.1948,1.64639,0.430952,8.71714,5.22754,7.83024,3.00727,3.78226,4.19427,2.49409,2.98873,4.1816,2.02449,2.46194,2.64104,2.53208,6.35457,7.39316,15.398,8.52855,22.1835,5.82799,2.45544,11.1791,7.86858,10.3623,1.00242,1.26075,1.39809,0.831365,0.996244,1.39387,0.674829,0.820648,0.880346,0.844027,0.731645
3.89784,0.913327,0.243333,4,15,0,4.44759,0.103697,0.256422,4.00177,3.50146,11.7705,7.15802,18.2101,1.5908,0.507178,8.4559,6.17187,7.86151,2.4966,3.82492,3.52873,2.98525,3.97417,4.27802,2.24026,2.94442,1.9366,2.32854,6.49836,7.32639,15.2993,10.1433,22.1842,5.86883,2.74744,11.4003,8.10848,10.19,0.832198,1.27497,1.17624,0.995085,1.32472,1.42601,0.746754,0.981474,0.645534,0.77618,1.16661
5.06431,0.835997,0.243333,4,31,0,9.7811,0.0740551,0.269092,4.08144,3.44486,11.8087,7.23066,18.1886,1.70926,0.555447,8.50042,6.18646,7.97255,2.54023,3.83289,3.50502,2.83424,4.44886,4.06606,2.37906,2.52098,2.16038,2.53969,6.62167,7.27774,15.3137,10.0649,22.6374,5.77532,2.93451,11.0214,8.34684,10.5122,0.846743,1.27763,1.16834,0.944747,1.48295,1.35535,0.79302,0.840327,0.720126,0.846564,2.05459
4.39495,0.992496,0.243333,4,15,0,5.29397,-0.136521,0.394425,4.13383,3.81823,10.9911,4.81959,18.4594,1.62601,0.968692,7.40626,6.02558,7.88314,2.38746,3.81364,4.54487,3.08219,4.03931,4.21743,1.85498,3.44033,2.13904,2.58718,6.52129,7.63187,15.536,7.90177,22.4988,5.84344,2.82367,10.8466,8.16461,10.4703,0.79582,1.27121,1.51496,1.0274,1.34644,1.40581,0.618327,1.14678,0.713012,0.862393,0.779303
-0.441722,0.749957,0.243333,4,15,0,7.03484,-0.241574,0.288206,3.74472,3.60334,11.3353,7.39753,19.6003,1.97043,0.0544135,9.2967,5.84151,7.26513,2.019,4.05478,3.60139,3.72296,2.44165,2.97234,2.40584,1.41976,1.67911,3.52892,5.76372,7.65813,14.9367,11.1205,22.042,4.94277,2.46025,10.7165,7.52062,10.7941,0.672999,1.35159,1.20046,1.24099,0.813884,0.990781,0.801945,0.473254,0.559704,1.17631,1.18766
2.37384,0.969332,0.243333,4,15,0,10.1844,-0.106889,0.428627,4.07756,3.49183,11.9397,6.36379,19.7019,2.4107,0.0808788,9.78029,6.33999,7.57337,2.49834,3.95565,3.78884,4.48113,2.62352,3.18786,2.70848,1.22672,1.87668,2.93677,6.57591,7.44748,15.7285,10.8449,22.3254,5.59856,2.78936,11.007,8.21667,10.5101,0.832781,1.31855,1.26295,1.49371,0.874505,1.06262,0.902825,0.408908,0.62556,0.978925,0.620866
3.00968,0.94559,0.243333,5,31,0,9.11052,0.103237,0.33707,4.10639,2.8507,10.8293,6.16391,19.116,1.78545,0.0186488,8.48974,6.02781,6.94007,2.50988,4.35717,4.78719,2.68945,3.38743,4.01405,3.06692,2.76203,2.27322,3.72618,6.61627,7.20787,15.6165,8.85336,22.5035,5.7995,3.08557,11.2518,8.30103,10.6662,0.836627,1.45239,1.59573,0.896483,1.12914,1.33802,1.02231,0.920676,0.75774,1.24206,1.12282
1.69876,0.87528,0.243333,4,15,0,9.18593,-0.141416,0.444953,4.0181,3.36933,10.4682,6.683,18.8488,2.00332,0.0567012,8.418,7.09525,7.62606,2.47323,4.01078,5.13273,3.69293,3.53659,3.78557,2.35318,2.44764,1.33774,2.93219,6.49133,7.38011,15.601,10.3759,22.3854,5.7889,2.40988,10.8656,8.43299,10.5583,0.82441,1.33693,1.71091,1.23098,1.17886,1.26186,0.784394,0.815881,0.445914,0.977398,0.775
9.97502,0.941646,0.243333,4,31,0,6.5244,0.053453,0.292969,3.53212,3.04217,10.8141,6.20634,19.0571,1.63386,0.568943,8.18816,5.80478,7.49642,2.72235,4.19853,4.19535,2.25254,3.29902,3.95895,2.84487,2.72958,1.79977,3.08363,6.25447,7.24069,15.0095,8.45888,22.3561,5.59281,3.41381,10.9177,7.60455,10.58,0.907449,1.39951,1.39845,0.750848,1.09967,1.31965,0.94829,0.909862,0.599922,1.02788,1.13682
